
Epoch:   0%|                                                                                                                     | 0/1 [00:00<?, ?it/s]
0 157 tensor(1.7926, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 3, 3, 5, 5, 3, 5, 5, 4, 4], device='cuda:0')
0 158 tensor(1.8394, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 5, 0, 4, 4, 2, 0, 2, 3, 3], device='cuda:0')
0 159 tensor(1.9380, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 2, 0, 0, 3, 5, 5, 5, 5, 1], device='cuda:0')
0 160 tensor(1.8634, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 3, 0, 2, 3, 2, 0, 5, 5, 5], device='cuda:0')
0 161 tensor(1.7598, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 5, 1, 5, 3, 2, 4, 4, 4], device='cuda:0')
0 162 tensor(1.8679, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 5, 3, 0, 4, 0, 5, 2, 3, 0], device='cuda:0')
0 163 tensor(1.8833, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 4, 4, 1, 5, 0, 3, 4], device='cuda:0')
0 164 tensor(2.0040, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([4, 5, 5, 5, 5, 0, 4, 2, 1, 1], device='cuda:0')
0 165 tensor(1.9242, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 3, 2, 3, 1, 1, 1, 4, 3], device='cuda:0')
0 166 tensor(1.8978, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([1, 4, 2, 0, 4, 3, 3, 0, 2, 3], device='cuda:0')
0 167 tensor(1.9219, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 2, 4, 4, 0, 4, 0, 2], device='cuda:0')
0 168 tensor(1.9522, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([5, 3, 0, 5, 2, 3, 5, 1, 1, 2], device='cuda:0')
0 169 tensor(1.8316, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 0, 5, 5, 1, 0, 5, 0, 1, 5], device='cuda:0')
0 170 tensor(1.7936, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([0, 3, 0, 0, 3, 5, 5, 5, 5, 2], device='cuda:0')
0 171 tensor(1.6287, device='cuda:0', grad_fn=<NllLossBackward0>) tensor([2, 5, 5, 0, 3, 2, 3, 4, 2, 5], device='cuda:0')
